"Code Name","Article Title","Link","Year","Code Parameters","Platform","Notes","Round count","Postselection rate","Number of ancillae","Half life of the logical qubit","Circuit runtime (s)"
"Repetition Code","Experimental Quantum Error Correction","https://arxiv.org/abs/quant-ph/9802018","1998","[3,1,3]","NMR","","","","","",""
"Repetition Code","Experimental Repetitive Quantum Error Correction","https://jubarreiro.physics.ucsd.edu/files/Schindler-Science-332-1059-1061.pdf","2011","[3,1,3]","Ion traps","","","","","",""
"Repetition Code","Demonstration of Sufficient Control for Two Rounds of Quantum Error Correction in a Solid-State Ensemble Quantum Information Processor","https://arxiv.org/abs/1108.4842","2011","[3,1,3]","NMR","","","","","",""
"Repetition Code","Experimental quantum error correction with high fidelity","https://arxiv.org/abs/1109.4821","2011","[3,1,3]","NMR","","","","","",""
"Repetition Code","Realization of Three-Qubit Quantum Error Correction with Superconducting Circuits","https://arxiv.org/abs/1109.4948","2012","[3,1,3]","Superconducting circuit","","","","","",""
"Repetition Code","State preservation by repetitive error detection in a superconducting quantum circuit","https://arxiv.org/abs/1411.7403","2014","[3,1,3]-[5,1,5]","Superconducting circuit","","","","","",""
"Repetition Code","Quantum error correction in a solid-state hybrid spin register","https://arxiv.org/abs/1309.6424","2014","[[3,1,3]]","NV centers","","","","","",""
"Repetition Code","Detecting bit-flip errors in a logical qubit using stabilizer measurements","https://arxiv.org/abs/1411.5542","2015","[3,1,3]","Superconducting circuit","","","","","",""
"Repetition Code","Repeated quantum error correction on a continuously encoded qubit by real-time feedback","https://arxiv.org/abs/1508.01388","2016","[3,1,3]","Superconducting circuit","","","","","",""
"Repetition Code","A repetition code of 15 qubits","https://arxiv.org/abs/1709.00990","2018","[3,1,3]-[8,1,8]","Superconducting circuit","","","","","",""
"Repetition Code","Benchmarking near-term devices with quantum error correction","https://arxiv.org/abs/2004.11037","2020","[3,1,3]-[22,1,22]","Superconducting circuit","","","","","",""
"Repetition Code","Exponential suppression of bit or phase flip errors with repetitive error correction","https://arxiv.org/abs/2102.06132","2020","[3,1,3]-[11,1,11]","Superconducting circuit","","","","","",""
"Four-qubit Code","Exponential suppression of bit or phase flip errors with repetitive error correction","https://arxiv.org/abs/2102.06132","2020","[[4,1,2]]","Superconducting circuit","","","","","",""
"Repetition Code","Suppressing quantum errors by scaling a surface code logical qubit","https://arxiv.org/abs/2207.06431","2023","[3,1,3]-[25,1,25]","Superconducting circuit","Repetition codes below threshold","","","","",""
"Repetition Code","Hardware-efficient quantum error correction using concatenated bosonic qubits","https://arxiv.org/abs/2409.13025","2024","[[3,1,3]], [[5,1,5]]","Superconducting circuit","Repetition cat codes below threshold","","","","",""
"Repetition Code","Quantum error correction below the surface code threshold","https://arxiv.org/abs/2408.13687","2024","[3,1,3]-[29,1,29]","Superconducting circuit","Repetition codes below threshold","1000","100%","2-28","",""
"[[5,1,3]] Perfect Code","Benchmarking Quantum Computers: The Five-Qubit Error Correcting Code","https://arxiv.org/abs/quant-ph/0101034","2001","[[5,1,3]]","NMR","","","","","",""
"[[5,1,3]] Perfect Code","Experimental implementation of encoded logical qubit operations in a perfect quantum error correcting code","https://arxiv.org/abs/1208.4797","2012","[[5,1,3]]","NMR","","","","","",""
"[[5,1,3]] Perfect Code","Experimental exploration of five-qubit quantum error correcting code with superconducting qubits","https://arxiv.org/abs/1907.04507","2019","[[5,1,3]]","Superconducting circuit","","","","","",""
"Surface Code","Experimental demonstration of a graph state quantum error-correction code","https://arxiv.org/abs/1404.5498","2014","[[4,1,2]]","Photons","","","","","",""
"Surface Code","Repeated Quantum Error Detection in a Surface Code","https://arxiv.org/abs/1912.09410","2020","[[4,1,2]]","Superconducting circuit","","","","","",""
"Surface Code","Realizing repeated quantum error correction in a distance-three surface code","https://arxiv.org/abs/2112.03708","2021","[[9,1,3]]","Superconducting circuit","","","","","",""
"Surface Code","Suppressing quantum errors by scaling a surface code logical qubit","https://arxiv.org/abs/2207.06431","2023","[[9,1,3]]-[[25,1,5]]","Superconducting circuit","Repetition codes below threshold","","","","",""
"Surface Code","A quantum processor based on coherent transport of entangled atom arrays","https://arxiv.org/abs/2112.03923","2021","[[13,1,3]] surface code, [[16,2,2]] toric code","Neutral atoms","","","","","",""
"Surface Code","Logical quantum processor based on reconfigurable atom arrays","https://arxiv.org/abs/2312.03982","2023","[[9,1,3]], [[25,1,5]], [[49,1,7]]","Neutral atoms","","","","","",""
"Surface Code","Quantum error correction below the surface code threshold","https://arxiv.org/abs/2408.13687","2024","[[9,1,3]], [[25,1,5]], [[49,1,7]]","Superconducting circuit","Surface codes below threshold","250","100%","8, 24, 52","83, 188, ",""
"Color Code","Experimental Quantum Computations on a Topologically Encoded Qubit","https://arxiv.org/abs/1403.5426","2014","[[7,1,3]]","Ion traps","","","","","",""
"Color Code","Experimental demonstration of fault-tolerant state preparation with superconducting qubits","https://arxiv.org/abs/1705.09259","2017","[[4,2,2]]","Superconducting circuit","","","","","",""
"Color Code","Fault-tolerant quantum error detection","https://arxiv.org/abs/1611.06946","2017","[[4,2,2]]","Ion traps","","","","","",""
"Color Code","A quantum processor based on coherent transport of entangled atom arrays","https://arxiv.org/abs/2112.03923","2021","[[7,1,3]]","Neutral atoms","","","","","",""
"Color Code","Logical quantum processor based on reconfigurable atom arrays","https://arxiv.org/abs/2312.03982","2023","[[7,1,3]], [[8,3,2]]","Neutral atoms","","","","","",""
"Bell State","Demonstration of a quantum error detection code using a square lattice of four superconducting qubits","https://www.nature.com/articles/ncomms7979","2015","[[2,0,2]]","Superconducting circuit","","","","","",""
"Bell State","Entanglement stabilization using ancilla-based parity detection and real-time feedback in superconducting circuits","https://www.nature.com/articles/s41534-019-0185-4","2019","[[2,0,2]]","Superconducting circuit","","","","","",""
"Bell State","Protecting quantum entanglement from leakage and qubit errors via repetitive parity measurements","https://arxiv.org/abs/1905.12731","2020","[[2,0,2]]","Superconducting circuit","","","","","",""
"Bacon-Shor Code","Fault-Tolerant Operation of a Quantum Error-Correction Code","https://arxiv.org/abs/2009.11482","2020","[[9,1,3]]","Ion traps","","","","","",""
"Bacon-Shor Code","Quantum teleportation of physical qubits into logical code-spaces","https://arxiv.org/abs/2009.06242","2020","[[9,1,3]]","Photons","","","","","",""
"Bacon-Shor Code","Logical computation demonstrated with a neutral atom quantum processor","https://arxiv.org/abs/2411.11822","2024","[[9,1,3]]","Neutral atoms","","","","","",""
"Four-qubit Code","Logical computation demonstrated with a neutral atom quantum processor","https://arxiv.org/abs/2411.11822","2024","[[4,1,2]], [[4,2,2]]","Neutral atoms","","","","","",""
"Cluster State","A quantum processor based on coherent transport of entangled atom arrays","https://arxiv.org/abs/2112.03923","2021","1D with 12 qubits","Neutral atoms","","","","","",""
"Four-qubit Code","Fault-tolerant quantum error detection","https://arxiv.org/abs/1611.06946","2017","[[4,1,2]]","Ion traps","","","","","",""
"Four-qubit Code","Experimental demonstration of fault-tolerant state preparation with superconducting qubits","https://arxiv.org/abs/1705.09259","2017","[[4,1,2]]","Superconducting circuit","","","","","",""
"Four-qubit Code","Protecting quantum memories using coherent parity check codes","https://arxiv.org/abs/1709.01866","2018","[[4,2,2]]","Superconducting circuit","","","","","",""
"Four-qubit Code","Is error detection helpful on IBM 5Q chips ?","https://arxiv.org/abs/1705.08957","2018","[[4,2,2]]","Superconducting circuit","","","","","",""
"Four-qubit Code","Testing quantum fault tolerance on small systems","https://arxiv.org/abs/1805.05227","2018","[[4,2,2]]","Superconducting circuit","","","","","",""
"Four-qubit Code","Fault-Tolerant Logical Gates in the IBM Quantum Experience","https://arxiv.org/abs/1806.02359","2019","[[4,2,2]]","Superconducting circuit","","","","","",""
"Four-qubit Code","Resource Optimal Realization of Fault-Tolerant Quantum Circuit","https://ieeexplore.ieee.org/document/9171796","2020","[[4,2,2]]","Superconducting circuit","","","","","",""
"Four-qubit Code","Error detection on quantum computers improves accuracy of chemical calculations","https://arxiv.org/abs/1910.00129","2020","[[4,2,2]]","Superconducting circuit","","","","","",""
"Four-qubit Code","Experimental Characterization of Fault-Tolerant Circuits in Small-Scale Quantum Processors","https://arxiv.org/abs/2112.04076","2021","[[4,2,2]]","Superconducting circuit","","","","","",""
"Four-qubit Code","Comparative analysis of error mitigation techniques for variational quantum eigensolver implementations on IBM quantum system","https://arxiv.org/abs/2206.07907","2022","[[4,2,2]]","Superconducting circuit","","","","","",""
"Four-qubit Code","Optical demonstration of quantum fault-tolerant threshold","https://arxiv.org/abs/2012.08927","2022","[[4,2,2]]","Photons","","","","","",""
"Four-qubit Code","Encoding a magic state with beyond break-even fidelity","https://arxiv.org/abs/2305.13581","2024","[[4,2,2]]","Superconducting circuit","","","","","",""
"Carbon Code", "Demonstration of logical qubits and repeated error correction with better-than-physical error rates", "https://arxiv.org/abs/2404.02280","2024","[[12,2,4]]","Ion traps","","3","89%","19","",""
"Tesseract Code, Color Code", "Demonstration of quantum computation and error correction with a tesseract code", "https://arxiv.org/abs/2409.04628","2024","[[16,4,4]]","Ion traps","","","","","",""
"Four-qubit Code","End-to-End Quantum Simulation of a Chemical System","https://arxiv.org/abs/2409.05835","2024","[[4,2,2]]","Ion traps","","","","","",""
"Four-qubit Code, Bacon-Shor Code","Logical computation demonstrated with a neutral atom quantum processor","https://arxiv.org/abs/2411.11822","2024","[[4,1,2]], [[4,2,2]], [[9,1,3]]","Neutral atoms","","","","","",""
"Four-qubit Code","Fault-Tolerant Operation and Materials Science with Neutral Atom Logical Qubits","https://arxiv.org/abs/2412.07670","2024","[[4,2,2]]","Neutral atoms","","0","?","2","",""
"Color Code","Experimental Demonstration of Logical Magic State Distillation","https://arxiv.org/abs/2412.15165","2024","[[7, 1, 3]], [[17,1,5]]","Neutral atoms","","0","3%, 0.4%","0","",""
"Color Code","Scaling and logic in the color code on a superconducting quantum processor","https://arxiv.org/abs/2412.14256","2024","[[7, 1, 3]], [[17,1,5]]","Superconducting circuit","","30","100%","6, 18","",""
"Surface Code","Demonstrating dynamic surface codes","https://arxiv.org/abs/2412.14360","2024","[[9,1,3]], [[25,1,5]]","Superconducting circuit","","54","100%","8, 24","",""
